id,age,baselines,rqcorrect,rq,demand_intensity,demand_liking,stim,ValenceContrast,NeutralContrast,target,targetdummy,controldummy,reaction,intensity,liking,dist
1,20,1,0,1,-2,0,1,0,0.666666667,-0.5,0,1,1,3,2,2
1,20,1,0,1,-2,0,2,0,0.666666667,-0.5,0,1,2,4,1,1
1,20,1,0,1,-2,0,3,0,0.666666667,-0.5,0,1,2,2,2,2
1,20,1,0,1,-2,0,4,0,0.666666667,0.5,1,0,7,4,1,2
1,20,1,0,1,-2,0,5,0,0.666666667,-0.5,0,1,2,2,1,2
1,20,1,0,1,-2,0,6,0,0.666666667,-0.5,0,1,2,3,1,2
1,20,1,0,1,-2,0,7,0,0.666666667,-0.5,0,1,3,2,2,2
1,20,1,0,1,-2,0,8,0,0.666666667,-0.5,0,1,2,3,1,2
1,20,1,0,1,-2,0,9,0,0.666666667,-0.5,0,1,3,3,2,3
1,20,1,0,1,-2,0,10,0,0.666666667,-0.5,0,1,3,3,2,2
1,20,1,0,1,-2,0,11,0.5,-0.333333333,-0.5,0,1,3,7,7,2
1,20,1,0,1,-2,0,12,0.5,-0.333333333,-0.5,0,1,6,6,2,2
1,20,1,0,1,-2,0,13,0.5,-0.333333333,0.5,1,0,6,7,2,8
1,20,1,0,1,-2,0,14,0.5,-0.333333333,-0.5,0,1,2,7,7,6
1,20,1,0,1,-2,0,15,0.5,-0.333333333,-0.5,0,1,4,6,6,7
1,20,1,0,1,-2,0,16,0.5,-0.333333333,-0.5,0,1,4,4,5,4
1,20,1,0,1,-2,0,17,0.5,-0.333333333,-0.5,0,1,7,6,8,6
1,20,1,0,1,-2,0,18,0.5,-0.333333333,-0.5,0,1,6,3,1,2
1,20,1,0,1,-2,0,19,0.5,-0.333333333,-0.5,0,1,5,4,2,5
1,20,1,0,1,-2,0,20,0.5,-0.333333333,-0.5,0,1,7,6,7,7
1,20,1,0,1,-2,0,21,-0.5,-0.333333333,-0.5,0,1,1,4,2,2
1,20,1,0,1,-2,0,22,-0.5,-0.333333333,-0.5,0,1,5,4,2,4
1,20,1,0,1,-2,0,23,-0.5,-0.333333333,-0.5,0,1,3,3,4,6
1,20,1,0,1,-2,0,24,-0.5,-0.333333333,-0.5,0,1,5,4,5,2
1,20,1,0,1,-2,0,25,-0.5,-0.333333333,-0.5,0,1,8,7,2,7
1,20,1,0,1,-2,0,26,-0.5,-0.333333333,-0.5,0,1,5,3,3,2
1,20,1,0,1,-2,0,27,-0.5,-0.333333333,-0.5,0,1,4,6,7,7
1,20,1,0,1,-2,0,28,-0.5,-0.333333333,0.5,1,0,4,6,6,6
1,20,1,0,1,-2,0,29,-0.5,-0.333333333,-0.5,0,1,4,6,6,2
1,20,1,0,1,-2,0,30,-0.5,-0.333333333,-0.5,0,1,6,2,4,5
2,30,2,0,5,0,0,1,0,0.666666667,-0.5,0,1,3,2,2,2
2,30,2,0,5,0,0,2,0,0.666666667,-0.5,0,1,0,1,1,1
2,30,2,0,5,0,0,3,0,0.666666667,-0.5,0,1,0,0,0,3
2,30,2,0,5,0,0,4,0,0.666666667,-0.5,0,1,0,0,0,2
2,30,2,0,5,0,0,5,0,0.666666667,-0.5,0,1,0,1,1,1
2,30,2,0,5,0,0,6,0,0.666666667,0.5,1,0,2,2,3,2
2,30,2,0,5,0,0,7,0,0.666666667,-0.5,0,1,0,0,1,1
2,30,2,0,5,0,0,8,0,0.666666667,-0.5,0,1,1,1,1,1
2,30,2,0,5,0,0,9,0,0.666666667,-0.5,0,1,1,0,1,1
2,30,2,0,5,0,0,10,0,0.666666667,-0.5,0,1,2,2,2,2
2,30,2,0,5,0,0,11,0.5,-0.333333333,-0.5,0,1,1,1,0,0
2,30,2,0,5,0,0,12,0.5,-0.333333333,-0.5,0,1,1,1,1,3
2,30,2,0,5,0,0,13,0.5,-0.333333333,-0.5,0,1,2,1,1,1
