Progress,Duration..in.seconds.,Finished,ready.to.participate,consent,mainDV_sterility,DV_Bill.Gates,vaccine_willingness,distress_COVID,worried_covid_1,worried_covid_2,Consecutively,Disturbances,Disturbances_specify,alone,purpose,purpose_specify,stance_vaccine,familiarity_sterility,familiarity_BillGates,Attention.check,age,gender,marital.status,children,religion,Religious.affiliation,education,political.affiliation,comments,correction.consent,Condition,exclusion,Group,Correction
,,,,,"In your opinion, how likely is it that the COVID-19 vaccine can cause sterility? (1-7 scale; 1 = Extremely unlikely, 7 = Extremely likely)","In your opinion, how likely is it that Bill Gates is connected to the COVID-19 pandemic or its vaccine?  (1-7 scale; 1 = Extremely unlikely, 7 = Extremely likely)","Once made available for you, will you agree to get vaccinated against COVID-19? (1 = Yes, 2 = No, 3 = Maybe, 4 = I got vaccinated already) ","To what extent do you feel distressed about the COVID-19 pandemic? (1 = Not at all, 2 = Slightly, 3 = Moderately, 4 = Considerably, 5 = Significantly)","How worried are you that you might contract the virus? (1 = Not worried at all, 2 = Not worried, 3 = Neutral, 4 = Worried, 5 = Very worried, 6 = I have already contracted the virus)","How worried are you that your loved ones might contract the virus? (1 = Not worried at all, 2 = Not worried, 3 = Neutral, 4 = Worried, 5 = Very worried, 6 = I have already contracted the virus)","Did you complete the questionnaire consecutively? (1 = Yes, 2 = No)","While completing the questionnaire, did you experience any external disturbances? (1 = No, 2 = If yes, please specify)",,"Did you fill in this questionnaire alone or with someone else? (1 = Alone, 2 = With someone else)",What do you think was the purpose of the study?,"When did you think about it, now (when you were asked) or during the study? (1 = Now, 2 = During the study)","What was your stance towards the COVID-19 vaccination before participating in this study? (1 = In favor of the vaccine, 2 = Against the vaccine, 3 = Not sure)","Have you ever heard the claim before that the COVID-19 vaccine might cause sterility? (1 = No, 2 = Yes)","Have you ever heard the claim before that Bill Gates is connected to the COVID-19 vaccine or its vaccine? (1 = No, 2 = Yes)","Which of the following is your favorite sport to watch? This is a data quality check. Regardless of your true preference, please select ""Hockey"". (1 = Tennis, 2 = Baseball, 3 = Hockey, 4 = Soccer)",,"(1 = Male, 2 = Female, 3 = Other)","(1 = Single, 2 = In a serious relationship, 3 = Married, 4 = Divorced, 5 = Separated, 6 = Widowed, 7 = Other)","Do you have children? (1 = Yes, 2 = No)","(1 = Christian, 2 = Muslim, 3 = Hindu, 4 = Jewish, 5 = Other)","(1 = Secular, 2 = Traditional, 3 = Religious)","What is your highest level of education? (1 = Less than a high school diploma, 2 = High school graduate, 3 = Bachelor's degree, 4 = Master's degree, 5 = Professional degree, 6 = Doctorate)","(1 = Republican, 2 = Democrat, 3 = Independent, 4 = Prefer not to identify)",,,1 = TF & sci. Correction ; 2 = TF & correction no source; 3 = TF & baseline; 4 = Control & sci. Correction ; 5 = Control & correction no source; 6 = Control & baseline,1 = technical exclusions; 2 = preregistered exclusions; 0 = final sample,0 = Control; 1 = ThinkFRE,1 = Correction with sci. Source; 2 = Correction no source; 3 = Baseline (no correction)
100,274,1,1,1,2,2,1,5,4,5,1,1,,1,Gauging attitudes toward COVID-19 vaccination in relation to reasoning skills,1,1,2,2,3,28,1,3,2,5,1,6,2,,1,5,0,0,2
100,278,1,1,1,1,1,1,5,4,5,1,1,,1,To see how people's impression of the COVID vaccine affects their reasoning when presented information that would confirm or deny their doubts.,1,1,1,2,3,31,2,1,2,5,1,3,2,,1,1,0,1,1
100,171,1,1,1,2,5,2,2,6,2,1,1,,1,"Perceptions on social media ""news""",1,3,2,2,3,26,1,2,2,1,3,3,1,,1,6,0,0,3
100,189,1,1,1,1,1,1,4,4,5,1,1,,1,Testing rationality against covid-19 beliefs,2,1,1,2,3,25,1,1,2,5,3,3,3,Nice survey,1,3,0,1,3
100,210,1,1,1,1,1,1,5,5,5,1,1,,1,Test peoples' perceptions about the COVID vaccine. ,1,1,1,2,3,19,1,1,2,5,1,2,2,No,1,1,0,1,1
100,213,1,1,1,2,2,1,4,4,4,1,1,,1,Determining views around the vaccine and thoughts about it's ulterior purposes. ,1,1,1,2,3,26,2,1,2,1,1,4,2,,1,6,0,0,3
100,229,1,1,1,1,5,1,5,4,4,1,1,,1,To see if there is a link between people who believe junk science about the COVID-19 vaccine and people who are most likely to get the vaccine.,1,1,1,2,3,28,2,2,2,5,1,4,2,,1,4,0,0,1
100,182,1,1,1,4,2,1,4,4,4,1,1,,1,see how easy it is to believe (fake) news,2,1,1,1,3,22,2,1,2,5,1,3,2,,1,2,0,1,2
100,351,1,1,1,1,1,1,3,3,4,1,1,,1,To measure attitudes about vaccination according to political leanings,2,1,1,2,3,24,1,2,2,5,1,3,2,nope,1,3,0,1,3
100,230,1,1,1,1,1,1,3,2,4,1,1,,1,How social media affects decision making,1,1,1,2,3,27,2,1,2,5,1,3,2,,1,6,0,0,3
100,223,1,1,1,1,4,1,3,4,4,1,1,,1,How a person uses context to develop an opinion.,1,1,1,1,3,25,1,1,2,1,2,2,3,,1,5,0,0,2
100,1039,1,1,1,2,1,1,3,4,4,1,1,,1,To study how comfortable we are taking the vaccine,1,1,1,1,3,31,1,1,2,5,3,3,3,,1,5,0,0,2
100,324,1,1,1,2,2,1,4,4,4,1,1,,1,How to spot fake news on social media and how assumptions are made about people,2,1,1,1,3,22,2,2,2,5,1,3,2,,1,2,0,1,2
100,255,1,1,1,1,1,1,3,3,4,1,1,,1,Assessment of susceptibility to disinformation via social media,1,1,2,2,3,35,1,3,1,5,1,6,2,,1,3,0,1,3
100,324,1,1,1,1,1,1,4,4,4,1,1,,1,finding out your opinions on covid vs your belief of unfounded statements and likeliness to take vaccine,2,1,2,2,3,33,2,1,2,5,1,3,4,no thank you for the opportunity. have a great day!,1,2,0,1,2
100,709,1,1,1,3,4,2,2,3,3,1,1,,1,opinion about covid vaccine,1,3,1,1,3,34,2,1,1,5,1,2,4,,1,1,0,1,1
100,358,1,1,1,2,1,3,2,4,4,1,1,,1,To get a feel on the users opinion on what's going on with COVID-19,2,1,1,2,3,39,1,1,2,5,1,2,3,This one was interesting. ,1,6,0,0,3
100,224,1,1,1,2,2,1,3,3,3,1,1,,1,To understand how the pandemic has influenced perceptions. ,1,1,1,2,3,18,2,1,2,5,1,2,2,No.,1,2,0,1,2
100,253,1,1,1,1,1,1,4,4,5,1,1,,1,how information is perceived and shared via social media,1,1,1,1,3,30,2,1,2,5,1,3,2,"not everyone is religious. On your demographic page, you should select an option for other or provide an atheist/agnostic option",1,5,0,0,2
100,258,1,1,1,7,7,2,3,4,4,1,1,,1,To give my opinions on short descriptions and see how people react to certain facts.,2,2,2,2,3,24,1,1,2,1,3,3,2,This was an interesting survey!,1,4,0,0,1
100,233,1,1,1,1,5,1,2,1,2,1,1,,1,To get general feelings about Covid,1,1,1,1,3,18,1,1,2,5,1,2,2,,1,6,0,0,3
100,238,1,1,1,2,1,1,3,4,5,1,1,,1,To study the relationship between the covid vaccine and perception of others,1,1,1,2,3,23,2,1,2,1,1,3,2,,1,5,0,0,2
100,207,1,1,1,1,1,1,5,5,5,1,1,,1,Perceptions of COVID disinformation,1,1,1,2,3,23,2,1,2,5,1,3,2,,1,5,0,0,2
100,250,1,1,1,1,1,1,3,6,5,1,1,,1,Attitudes regarding the the covid vaccine,1,1,1,2,3,34,1,2,2,5,1,3,2,no,1,4,0,0,1
100,356,1,1,1,1,1,1,5,1,3,1,1,,1,The purpose of the study I think is to gauge the participant's trust in the COVID vaccine and their potential willingness to receive it.,1,1,2,2,3,20,1,1,2,5,1,2,2,Thanks!,1,1,0,1,1
100,353,1,1,1,3,1,3,2,3,3,1,1,,1,Get people's opinions on the information viewed on social media and the influence social media can have.,1,1,1,1,3,20,1,1,2,5,2,2,3,,1,4,0,0,1
100,493,1,1,1,4,4,1,2,4,4,1,1,,1,I do not know what was the purpose of the study,2,1,1,1,3,25,1,2,2,1,3,3,2,None,1,1,0,1,1
100,239,1,1,1,4,1,3,3,3,3,1,1,,1,"Not sure, I assume it has to do with my view of COVID, the vaccine and media surrounding it.",1,1,2,1,3,25,1,1,2,5,1,2,3,,1,2,0,1,2
100,194,1,1,1,2,5,1,4,4,5,1,1,,1,To get my opinion about the covid vaccine,2,1,2,2,3,32,1,1,2,5,1,4,2,,1,4,0,0,1
100,216,1,1,1,2,1,1,2,3,3,1,1,,1,The influence of misinformation.,2,1,1,2,3,32,1,3,2,5,2,3,3,,1,6,0,0,3
100,275,1,1,1,2,4,1,4,5,4,1,1,,1,"I have no idea, must be related to covid-19",2,1,1,1,3,31,2,3,2,5,1,4,4,,1,1,0,1,1
100,172,1,1,1,2,2,3,1,1,3,1,1,,1,fake news and hwo people interpret it,1,3,1,1,3,24,2,2,2,1,3,3,1,,1,6,0,0,3
100,344,1,1,1,1,4,1,4,1,2,1,1,,1,I honestly have no idea other than can we believe stuff we read or not,2,1,1,1,3,31,2,1,2,5,1,2,4,,1,3,0,1,3
100,406,1,1,1,2,3,1,3,6,4,1,1,,1,How reading comprehension is linked to belief in conspiracy theories,1,1,1,1,3,21,2,1,2,5,1,2,2,,1,2,0,1,2
100,367,1,1,1,2,2,3,3,4,4,1,1,,1,How much of what we hear on social platforms do we believe,2,3,1,2,3,38,2,3,1,5,2,3,4,,1,5,0,0,2
100,477,1,1,1,2,2,1,3,2,4,1,1,,1,"to determine how people perceive ""news"" scares and such as fake news or believing in them at first glance ",1,1,1,1,3,26,2,3,2,5,1,3,3,"All went well, hope yall stay safe!!",1,3,0,1,3
100,496,1,1,1,2,1,1,3,2,3,1,1,,1,gauge interest in vaccine and correlate that interest with susceptibility to bullshit on social media and reading ability,2,1,1,2,3,39,1,3,2,5,1,4,3,nope ,1,6,0,0,3
100,266,1,1,1,2,2,1,4,4,5,1,1,,1,facts about the virus and theories based on it,2,1,2,2,3,22,2,2,2,5,1,3,2,,1,1,0,1,1
100,997,1,1,1,5,5,2,4,3,3,1,1,,1,study about of mind people,1,2,1,1,3,35,1,3,1,4,3,6,1,none,1,4,0,0,1
100,557,1,1,1,2,5,3,4,4,4,1,1,,1,attitude towards the vaccine,2,1,1,2,3,22,2,1,2,1,1,3,3,,1,1,0,1,1
100,322,1,1,1,2,2,1,3,4,4,1,1,,1,To see how peoples perceptions of information align with their willingness to get the covid vaccine,1,1,1,2,3,26,2,2,2,5,1,3,2,,1,3,0,1,3
100,407,1,1,1,2,2,1,2,3,4,1,1,,1,Peoples thought processes concerning covid distress? Uncertain.,1,1,1,1,3,25,1,1,2,5,2,2,4,,1,2,0,1,2
100,621,1,1,1,2,2,1,4,3,4,1,1,,1,To see peoples opinions of the vaccine,1,1,1,1,3,19,2,1,2,5,1,2,2,,1,5,0,0,2
100,597,1,1,1,4,4,3,4,3,4,1,1,,1,"not really sure, but i'm interested in finding out.",2,3,2,2,3,25,1,1,2,1,1,2,3,,1,4,0,0,1
100,199,1,1,1,1,1,1,5,4,4,1,1,,1,to see what our ideas of strangers are based on how we understand information,1,3,1,2,3,23,2,1,2,5,1,3,2,no,1,2,0,1,2
100,286,1,1,1,1,6,1,5,4,5,1,1,,1,understand perspectives on vaccination based on social media tendencies or beliefs,1,1,1,2,3,20,1,1,2,4,1,2,3,"yes i belive bill gates is involved with the vaccine, he's been vocal about his philanthropy and i believe his involvement to be positive",1,3,0,1,3
100,205,1,1,1,1,1,1,4,4,5,1,1,,1,To see how your perceptions around vaccinations are shaped. ,1,1,1,2,3,28,2,2,2,5,1,4,2,N/A,1,6,0,0,3
100,320,1,1,1,1,1,1,5,4,5,1,1,,1,Attitudes towards covid,2,1,1,2,3,36,1,2,2,5,1,4,3,,1,5,0,0,2
100,320,1,1,1,1,2,1,5,6,5,1,1,,1,measure one's faith in the COVID vaccine?,1,1,1,1,3,19,2,1,2,5,1,2,2,,1,4,0,0,1
100,209,1,1,1,2,1,1,4,3,4,1,1,,1,test likelihood of people taking vaccine or being influenced by others,1,1,1,1,3,37,1,3,1,1,1,6,3,,1,4,0,0,1
100,208,1,1,1,1,1,3,1,6,1,1,1,,1,Distinguishing information on social media,1,1,1,1,3,20,1,2,2,5,1,2,4,No,1,3,0,1,3
100,337,1,1,1,1,1,1,2,2,3,1,1,,1,likelihood of getting vaccine,2,1,1,2,3,33,2,1,2,1,3,3,3,,1,1,0,1,1
100,270,1,1,1,1,1,1,5,4,4,1,1,,1,Seeing what kinds of people believe conspiracies about the Coronavirus,1,1,1,1,3,24,3,2,2,5,3,2,2,,1,6,0,0,3
100,244,1,1,1,1,1,1,5,6,4,1,1,,1,"I actually don't know, the first part was about detecting false information regarding COVID and the second seemed kind of random",1,1,1,2,3,21,1,1,2,5,1,3,2,,1,1,0,1,1
100,287,1,1,1,4,3,2,4,4,4,1,1,,1,to get my views on covid-19,2,2,1,2,3,20,2,3,2,1,3,2,2,no,1,2,0,1,2
100,350,1,1,1,1,1,1,4,3,5,1,1,,1,To examine people's responses to the conspiracy theories about the vaccine,1,1,1,1,3,20,2,1,2,5,1,2,2,,1,5,0,0,2
100,310,1,1,1,1,2,3,2,2,4,1,1,,1,Fake news and COVID ,1,1,1,2,3,33,1,1,2,1,2,3,4,,1,2,0,1,2
100,208,1,1,1,1,1,1,3,4,4,1,1,,1,Covid and social media,1,1,1,2,3,38,1,3,1,5,1,2,2,,1,6,0,0,3
100,244,1,1,1,1,3,1,4,5,5,1,1,,1,Not really sure to be honest,2,1,1,2,3,29,2,1,2,5,1,4,2,"this was quite confusing, with back and forth of questions. ",1,5,0,0,2
100,261,1,1,1,2,1,1,3,3,5,1,1,,1,Honestly I have no idea other than remotely covid related,2,1,1,2,3,32,2,3,2,5,1,3,2,Really curious what it was about!,1,4,0,0,1
100,204,1,1,1,4,5,1,4,3,4,1,1,,1,To see how people think of the vaccine,2,1,1,1,3,18,1,1,2,1,3,2,2,,1,3,0,1,3
100,209,1,1,1,3,4,3,3,3,3,1,1,,1,The purpose was to show if i can memorize.,2,3,2,1,3,18,1,1,2,1,2,2,3,nope,1,1,0,1,1
100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,NA,NA
100,279,1,1,1,2,1,1,4,5,5,1,1,,1,To see how views on particular opinions of the vaccine correlate to wanting to take it.,1,1,1,2,3,19,1,1,2,1,1,2,3,,1,6,0,0,3
100,294,1,1,1,4,2,3,4,5,5,1,1,,1,To test people's attention,1,3,1,1,3,20,2,1,2,1,3,3,3,,1,1,0,1,1
100,283,1,1,1,4,4,3,3,4,5,1,1,,1,evaluate general responses towards the pandemic,1,3,1,1,3,18,2,1,2,1,1,2,4,no,1,5,0,0,2
100,263,1,1,1,1,1,1,4,3,3,1,1,,1,How people separate fact from fiction on social media,1,1,1,1,3,23,1,3,2,1,1,3,2,,1,2,0,1,2
100,365,1,1,1,1,1,1,5,3,4,1,1,,1,reading comprehension,2,1,1,1,3,20,2,2,2,1,3,3,3,,1,3,0,1,3
100,210,1,1,1,1,1,1,2,1,2,1,1,,1,see what we thought about the vaccine and other people freakin out,2,1,1,2,3,33,1,3,1,5,1,2,3,,1,5,0,0,2
100,211,1,1,1,1,1,1,4,4,4,1,1,,1,to distinguish articles based on fact,1,1,1,2,3,22,2,1,2,3,1,3,2,no,1,3,0,1,3
100,398,1,1,1,2,1,1,5,4,4,1,1,,1,study opinions/perceptions on Covid-19 & vaccine,1,1,2,1,3,19,2,1,2,1,3,2,2,,1,4,0,0,1
100,158,1,1,1,2,2,3,4,5,4,1,1,,1,To best understand how people perceive the virus,2,1,2,2,3,20,2,1,2,5,2,2,3,None. Thank you for the opportunity!,1,4,0,0,1
100,318,1,1,1,2,1,1,3,3,4,1,1,,1,To examine how likely we might be to believe conspiracy theories about Covid.,2,1,1,1,3,36,1,1,2,1,2,3,2,,1,6,0,0,3
100,202,1,1,1,3,5,2,3,4,4,1,1,,1,see how we feel about covid,2,2,2,2,3,30,2,3,2,1,1,3,2,no,1,4,0,0,1
100,315,1,1,1,6,7,2,2,1,1,2,1,,1,"im not sure, peoples thoughts ",1,2,2,2,3,31,2,2,1,1,2,2,3,,1,1,2,1,1
100,326,1,1,1,1,1,1,5,5,5,1,1,,1,See if people will go along with conspiracies if it aligns with their beliefs,1,1,1,2,3,24,1,1,2,5,1,2,2,,1,3,0,1,3
100,171,1,1,1,1,1,1,3,4,4,1,1,,1,"I do not know, it does not matter what I think as it has no bearing on your findings.",1,1,2,2,3,39,1,3,1,5,1,3,3,,1,2,0,1,2
100,304,1,1,1,1,1,1,5,1,4,1,1,,1,people's opinion's about the covid 19 vaccine,1,1,1,2,3,31,1,1,2,5,1,4,2,,1,1,0,1,1
100,339,1,1,1,2,1,1,3,4,4,1,1,,1,Judging ability to distinguish fake news.,2,1,1,2,3,38,1,3,1,5,1,2,2,,1,2,0,1,2
100,282,1,1,1,7,7,2,1,1,1,1,1,,1,To gather opinions on the Covid vaccine.,2,2,2,2,3,25,2,1,2,5,2,2,3,No comments.,1,5,0,0,2
100,247,1,1,1,1,1,1,2,4,5,1,1,,1,To examine peoples reactions to misinformation in social media posts.,1,1,2,2,3,20,1,1,2,1,3,2,3,,1,5,0,0,2
