"","X","Ss","block.number","Description","Trial","RT","Acc","Angle","Condition","Target"
"1",1,2,1,"Conscious",1,563,1,95,"Same_Path","Rectangle"
"2",2,2,1,"Conscious",2,530,1,53,"Same_Path","Rectangle"
"3",3,2,1,"Conscious",3,555,1,49,"Different_Path","Diamond"
"4",4,2,1,"Conscious",4,472,1,313,"Different_Path","Rectangle"
"5",5,2,1,"Conscious",5,501,1,209,"Same_Path","Rectangle"
"6",6,2,1,"Conscious",6,597,1,198,"Same_Path","Diamond"
"7",7,2,1,"Conscious",7,570,1,53,"Same_Path","Rectangle"
"8",8,2,1,"Conscious",8,493,1,308,"Same_Path","Rectangle"
"10",10,2,1,"Conscious",10,490,1,127,"Different_Path","Diamond"
"11",11,2,1,"Conscious",11,555,1,185,"Different_Path","Rectangle"
"12",12,2,1,"Conscious",12,432,1,145,"Same_Path","Rectangle"
"13",13,2,1,"Conscious",13,422,1,28,"Same_Path","Rectangle"
"14",14,2,1,"Conscious",14,357,1,87,"Same_Path","Rectangle"
"15",15,2,1,"Conscious",15,386,1,45,"Different_Path","Rectangle"
"16",16,2,1,"Conscious",16,378,1,67,"Different_Path","Rectangle"
"17",17,2,1,"Conscious",17,507,1,87,"Same_Path","Diamond"
"18",18,2,1,"Conscious",18,499,1,151,"Different_Path","Diamond"
"19",19,2,1,"Conscious",19,340,1,18,"Same_Path","Diamond"
"20",20,2,1,"Conscious",20,331,1,325,"Same_Path","Diamond"
"22",22,2,1,"Conscious",22,492,1,177,"Same_Path","Diamond"
"23",23,2,1,"Conscious",23,413,1,177,"Different_Path","Rectangle"
"24",24,2,1,"Conscious",24,582,1,122,"Same_Path","Diamond"
"25",25,2,1,"Conscious",25,414,1,325,"Same_Path","Diamond"
"26",26,2,1,"Conscious",26,455,1,133,"Different_Path","Rectangle"
"27",27,2,1,"Conscious",27,448,1,41,"Different_Path","Rectangle"
"28",28,2,1,"Conscious",28,460,1,281,"Same_Path","Diamond"
"29",29,2,1,"Conscious",29,597,1,141,"Same_Path","Diamond"
"30",30,2,1,"Conscious",30,456,1,88,"Different_Path","Rectangle"
"31",31,2,1,"Conscious",31,506,1,146,"Different_Path","Diamond"
"32",32,2,1,"Conscious",32,457,1,35,"Different_Path","Diamond"
"33",33,2,1,"Conscious",33,418,1,48,"Different_Path","Diamond"
"34",34,2,1,"Conscious",34,420,1,340,"Different_Path","Rectangle"
"36",36,2,1,"Conscious",36,440,1,208,"Same_Path","Rectangle"
"37",37,2,1,"Conscious",37,436,1,22,"Different_Path","Diamond"
"38",38,2,1,"Conscious",38,425,1,85,"Same_Path","Diamond"
"39",39,2,1,"Conscious",39,496,1,128,"Different_Path","Rectangle"
"40",40,2,1,"Conscious",40,545,1,296,"Different_Path","Rectangle"
"41",41,2,1,"Conscious",41,433,1,6,"Different_Path","Diamond"
"42",42,2,1,"Conscious",42,434,1,16,"Different_Path","Rectangle"
"43",43,2,1,"Conscious",43,488,1,61,"Different_Path","Diamond"
"44",44,2,1,"Conscious",44,483,1,234,"Different_Path","Rectangle"
"45",45,2,1,"Conscious",45,446,1,264,"Same_Path","Diamond"
"46",46,2,1,"Conscious",46,425,1,234,"Different_Path","Diamond"
"47",47,2,1,"Conscious",47,449,1,163,"Same_Path","Rectangle"
"48",48,2,1,"Conscious",48,428,1,197,"Same_Path","Diamond"
"49",49,2,1,"Conscious",49,371,1,107,"Same_Path","Diamond"
"50",50,2,1,"Conscious",50,381,1,269,"Different_Path","Diamond"
"51",51,2,1,"Conscious",51,412,1,69,"Same_Path","Rectangle"
"52",52,2,1,"Conscious",52,517,1,248,"Same_Path","Rectangle"
"53",53,2,1,"Conscious",53,409,1,67,"Different_Path","Diamond"
"54",54,2,1,"Conscious",54,494,1,133,"Same_Path","Diamond"
"55",55,2,1,"Conscious",55,407,1,226,"Different_Path","Rectangle"
"56",56,2,1,"Conscious",56,475,1,281,"Different_Path","Diamond"
"57",57,2,1,"Conscious",57,424,1,30,"Same_Path","Rectangle"
"58",58,2,1,"Conscious",58,431,1,335,"Same_Path","Diamond"
"59",59,2,1,"Conscious",59,444,1,280,"Different_Path","Rectangle"
"60",60,2,1,"Conscious",60,408,1,176,"Different_Path","Rectangle"
"61",61,2,1,"Conscious",61,385,1,157,"Different_Path","Rectangle"
"62",62,2,1,"Conscious",62,433,1,161,"Different_Path","Diamond"
"63",63,2,1,"Conscious",63,532,1,111,"Different_Path","Diamond"
"64",64,2,1,"Conscious",64,741,1,184,"Same_Path","Diamond"
"65",257,3,1,"Conscious",1,627,1,236,"Different_Path","Diamond"
"66",258,3,1,"Conscious",2,415,1,91,"Same_Path","Rectangle"
"67",259,3,1,"Conscious",3,464,1,35,"Same_Path","Diamond"
"68",260,3,1,"Conscious",4,367,1,2,"Different_Path","Rectangle"
"70",262,3,1,"Conscious",6,574,1,216,"Different_Path","Diamond"
"71",263,3,1,"Conscious",7,391,1,91,"Same_Path","Rectangle"
"72",264,3,1,"Conscious",8,574,1,318,"Same_Path","Rectangle"
"73",265,3,1,"Conscious",9,496,1,182,"Different_Path","Rectangle"
"74",266,3,1,"Conscious",10,857,1,268,"Different_Path","Rectangle"
"75",267,3,1,"Conscious",11,480,1,60,"Same_Path","Diamond"
"76",268,3,1,"Conscious",12,437,1,6,"Different_Path","Rectangle"
"77",269,3,1,"Conscious",13,435,1,75,"Same_Path","Rectangle"
"78",270,3,1,"Conscious",14,536,1,103,"Same_Path","Rectangle"
"79",271,3,1,"Conscious",15,506,1,108,"Different_Path","Diamond"
"80",272,3,1,"Conscious",16,537,1,240,"Different_Path","Diamond"
"81",273,3,1,"Conscious",17,482,1,82,"Same_Path","Diamond"
"82",274,3,1,"Conscious",18,589,1,238,"Same_Path","Diamond"
"83",275,3,1,"Conscious",19,539,1,78,"Same_Path","Diamond"
"84",276,3,1,"Conscious",20,524,1,34,"Same_Path","Rectangle"
"85",277,3,1,"Conscious",21,663,1,285,"Same_Path","Diamond"
"86",278,3,1,"Conscious",22,566,1,328,"Same_Path","Rectangle"
"87",279,3,1,"Conscious",23,530,1,244,"Different_Path","Rectangle"
"88",280,3,1,"Conscious",24,581,1,151,"Same_Path","Diamond"
"89",281,3,1,"Conscious",25,468,1,302,"Same_Path","Rectangle"
"90",282,3,1,"Conscious",26,451,1,38,"Same_Path","Rectangle"
"91",283,3,1,"Conscious",27,391,1,223,"Same_Path","Rectangle"
"92",284,3,1,"Conscious",28,582,1,178,"Different_Path","Diamond"
"93",285,3,1,"Conscious",29,685,1,345,"Different_Path","Rectangle"
"94",286,3,1,"Conscious",30,529,1,323,"Different_Path","Rectangle"
"95",287,3,1,"Conscious",31,458,1,7,"Same_Path","Rectangle"
"96",288,3,1,"Conscious",32,459,1,73,"Different_Path","Diamond"
"97",289,3,1,"Conscious",33,365,1,80,"Different_Path","Rectangle"
"98",290,3,1,"Conscious",34,592,1,222,"Same_Path","Diamond"
"99",291,3,1,"Conscious",35,421,1,136,"Same_Path","Rectangle"
"100",292,3,1,"Conscious",36,719,1,178,"Different_Path","Diamond"
"101",293,3,1,"Conscious",37,436,1,225,"Different_Path","Diamond"
"102",294,3,1,"Conscious",38,481,1,260,"Different_Path","Diamond"
"104",296,3,1,"Conscious",40,638,1,161,"Different_Path","Diamond"
"105",297,3,1,"Conscious",41,563,1,135,"Same_Path","Diamond"
"106",298,3,1,"Conscious",42,398,1,123,"Same_Path","Rectangle"
"107",299,3,1,"Conscious",43,500,1,219,"Different_Path","Diamond"
"108",300,3,1,"Conscious",44,421,1,140,"Different_Path","Rectangle"
"109",301,3,1,"Conscious",45,476,1,306,"Different_Path","Rectangle"
"110",302,3,1,"Conscious",46,441,1,60,"Different_Path","Rectangle"
"111",303,3,1,"Conscious",47,517,1,215,"Different_Path","Rectangle"
"112",304,3,1,"Conscious",48,482,1,283,"Same_Path","Rectangle"
"113",305,3,1,"Conscious",49,493,1,186,"Same_Path","Diamond"
"114",306,3,1,"Conscious",50,519,1,226,"Same_Path","Diamond"
"115",307,3,1,"Conscious",51,500,1,193,"Different_Path","Diamond"
"116",308,3,1,"Conscious",52,397,1,166,"Same_Path","Rectangle"
"117",309,3,1,"Conscious",53,515,1,70,"Different_Path","Diamond"
"118",310,3,1,"Conscious",54,504,1,127,"Same_Path","Diamond"
"119",311,3,1,"Conscious",55,479,1,199,"Different_Path","Diamond"
"120",312,3,1,"Conscious",56,493,1,158,"Different_Path","Rectangle"
"121",313,3,1,"Conscious",57,406,1,261,"Different_Path","Diamond"
"122",314,3,1,"Conscious",58,473,1,237,"Same_Path","Rectangle"
"123",315,3,1,"Conscious",59,494,1,150,"Different_Path","Diamond"
"124",316,3,1,"Conscious",60,432,1,280,"Same_Path","Diamond"
"125",317,3,1,"Conscious",61,573,1,130,"Same_Path","Diamond"
"126",318,3,1,"Conscious",62,398,1,328,"Same_Path","Diamond"
"127",319,3,1,"Conscious",63,434,1,82,"Different_Path","Rectangle"
"128",320,3,1,"Conscious",64,463,1,103,"Different_Path","Rectangle"
"129",513,4,1,"Conscious",1,397,1,63,"Same_Path","Rectangle"
"130",514,4,1,"Conscious",2,452,1,33,"Different_Path","Rectangle"
"131",515,4,1,"Conscious",3,478,1,118,"Same_Path","Rectangle"
"132",516,4,1,"Conscious",4,459,1,32,"Same_Path","Diamond"
"133",517,4,1,"Conscious",5,490,1,343,"Same_Path","Diamond"
"134",518,4,1,"Conscious",6,566,1,227,"Same_Path","Rectangle"
"135",519,4,1,"Conscious",7,657,1,14,"Different_Path","Diamond"
"136",520,4,1,"Conscious",8,602,1,24,"Same_Path","Diamond"
"137",521,4,1,"Conscious",9,509,1,7,"Different_Path","Rectangle"
"138",522,4,1,"Conscious",10,789,1,68,"Same_Path","Rectangle"
"139",523,4,1,"Conscious",11,530,1,349,"Same_Path","Diamond"
"140",524,4,1,"Conscious",12,989,1,7,"Same_Path","Rectangle"
"141",525,4,1,"Conscious",13,436,1,193,"Different_Path","Rectangle"
"142",526,4,1,"Conscious",14,634,1,114,"Same_Path","Diamond"
"143",527,4,1,"Conscious",15,711,1,233,"Different_Path","Diamond"
"144",528,4,1,"Conscious",16,470,1,34,"Same_Path","Diamond"
"145",529,4,1,"Conscious",17,509,1,164,"Different_Path","Rectangle"
"146",530,4,1,"Conscious",18,765,1,321,"Different_Path","Diamond"
"147",531,4,1,"Conscious",19,520,1,32,"Different_Path","Diamond"
"149",533,4,1,"Conscious",21,1142,1,76,"Same_Path","Diamond"
"150",534,4,1,"Conscious",22,525,1,183,"Same_Path","Rectangle"
"151",535,4,1,"Conscious",23,705,1,151,"Different_Path","Rectangle"
"152",536,4,1,"Conscious",24,808,1,172,"Same_Path","Diamond"
"153",537,4,1,"Conscious",25,515,1,139,"Same_Path","Rectangle"
"154",538,4,1,"Conscious",26,641,1,278,"Different_Path","Diamond"
"155",539,4,1,"Conscious",27,566,1,352,"Same_Path","Rectangle"
"156",540,4,1,"Conscious",28,601,1,119,"Same_Path","Diamond"
"157",541,4,1,"Conscious",29,756,1,125,"Different_Path","Diamond"
"158",542,4,1,"Conscious",30,857,1,116,"Same_Path","Rectangle"
"159",543,4,1,"Conscious",31,779,1,166,"Different_Path","Diamond"
"160",544,4,1,"Conscious",32,732,1,215,"Different_Path","Diamond"
"161",545,4,1,"Conscious",33,861,1,136,"Different_Path","Rectangle"
"162",546,4,1,"Conscious",34,902,1,308,"Different_Path","Diamond"
"163",547,4,1,"Conscious",35,693,1,296,"Different_Path","Rectangle"
"164",548,4,1,"Conscious",36,542,1,98,"Different_Path","Rectangle"
"165",549,4,1,"Conscious",37,582,1,117,"Different_Path","Diamond"
"166",550,4,1,"Conscious",38,661,1,327,"Same_Path","Diamond"
"167",551,4,1,"Conscious",39,548,1,94,"Same_Path","Rectangle"
"168",552,4,1,"Conscious",40,684,1,222,"Different_Path","Diamond"
