"","X","Ss","block.number","Description","Trial","RT","Acc","Angle","Condition","Target","Angle_main"
"1",65,2,2,"UnConscious",1,427,1,315,"Same_Path","Rectangle","FALSE"
"2",66,2,2,"UnConscious",2,426,1,270,"Same_Path","Rectangle","TRUE"
"3",67,2,2,"UnConscious",3,593,1,45,"Different_Path","Diamond","FALSE"
"4",68,2,2,"UnConscious",4,462,1,45,"Same_Path","Rectangle","FALSE"
"5",69,2,2,"UnConscious",5,677,1,0,"Same_Path","Diamond","TRUE"
"6",70,2,2,"UnConscious",6,436,1,180,"Same_Path","Rectangle","TRUE"
"7",71,2,2,"UnConscious",7,479,1,180,"Different_Path","Diamond","TRUE"
"8",72,2,2,"UnConscious",8,398,1,180,"Different_Path","Rectangle","TRUE"
"9",73,2,2,"UnConscious",9,529,1,180,"Different_Path","Diamond","TRUE"
"10",74,2,2,"UnConscious",10,414,1,0,"Different_Path","Diamond","TRUE"
"11",75,2,2,"UnConscious",11,411,1,135,"Same_Path","Rectangle","FALSE"
"12",76,2,2,"UnConscious",12,440,1,315,"Different_Path","Diamond","FALSE"
"13",77,2,2,"UnConscious",13,441,1,90,"Different_Path","Rectangle","TRUE"
"14",78,2,2,"UnConscious",14,470,1,0,"Different_Path","Rectangle","TRUE"
"15",79,2,2,"UnConscious",15,481,1,180,"Same_Path","Rectangle","TRUE"
"16",80,2,2,"UnConscious",16,446,1,0,"Different_Path","Rectangle","TRUE"
"18",82,2,2,"UnConscious",18,460,1,90,"Same_Path","Diamond","TRUE"
"19",83,2,2,"UnConscious",19,567,1,90,"Different_Path","Diamond","TRUE"
"20",84,2,2,"UnConscious",20,492,1,90,"Same_Path","Diamond","TRUE"
"21",85,2,2,"UnConscious",21,483,1,0,"Different_Path","Rectangle","TRUE"
"22",86,2,2,"UnConscious",22,432,1,315,"Same_Path","Diamond","FALSE"
"23",87,2,2,"UnConscious",23,447,1,90,"Same_Path","Rectangle","TRUE"
"24",88,2,2,"UnConscious",24,382,1,45,"Same_Path","Diamond","FALSE"
"25",89,2,2,"UnConscious",25,425,1,135,"Same_Path","Diamond","FALSE"
