Participant_number,dominant_priority,rt,Priority_difference,chosen_pr,Chose_priority,Side,Previous_Side,Different?,New participant,stimulus_block
1,1255.024952,2780.3,321.3192425,933.7057095,0,Right,Right,yes,yes,A-B
1,1941.175699,705.4,1712.565894,1941.175699,1,Right,Right,no,no,A-B
1,1129.688426,888.8,104.624784,1025.063642,0,Right,Left,no,no,A-B
1,1129.688426,581.4,914.2695043,1129.688426,1,Left,Left,yes,no,A-B
1,1572.12696,542.3,1359.806486,1572.12696,1,Left,Left,no,no,A-B
1,1166.521266,579.2,978.606603,187.914663,0,Left,Left,no,no,A-B
1,1560.242807,1702.6,563.5030381,1560.242807,1,Left,Right,no,no,A-B
1,1453.011627,571,463.3755043,989.6361227,0,Right,Right,yes,no,A-B
1,1572.12696,614.9,1361.802132,1572.12696,1,Right,Left,no,no,A-B
1,1924.715546,601.7,989.3264872,1924.715546,1,Left,Right,yes,no,A-B
1,1166.521266,546.7,150.144983,1016.376283,0,Right,Left,yes,no,A-B
1,1941.175699,776,1724.188116,216.987583,0,Left,Left,yes,no,A-B
1,1453.011627,666.5,1190.768735,1453.011627,1,Left,Left,no,no,A-B
1,1560.242807,1531.1,1306.063131,254.179676,0,Left,Left,no,no,A-B
1,2002.718236,2283,1079.850432,2002.718236,1,Left,Left,no,no,A-B
1,2002.718236,1105.3,1755.396393,247.321843,0,Left,Left,no,no,A-B
1,1255.024952,576.9,335.9612121,1255.024952,1,Left,Left,no,no,A-B
1,-1458.333389,1093.2,765.053041,-2223.38643,0,Left,Left,no,no,D-E
1,-1363.062003,985.6,641.816304,-1363.062003,1,Left,Left,no,no,D-E
1,-1374.846792,1259,1045.311491,-2420.158283,0,Right,Left,yes,no,D-E
1,-1399.208513,730.6,1020.94977,-1399.208513,1,Left,Left,yes,no,D-E
1,-1345.997317,639,1077.966066,-1345.997317,1,Left,Left,no,no,D-E
1,-1279.863624,800.8,1144.099759,-2423.963383,0,Left,Left,no,no,D-E
1,-1304.66982,1371.8,1020.745499,-2325.415319,0,Left,Left,no,no,D-E
1,-1263.727426,783.2,1011.40675,-1263.727426,1,Left,Left,no,no,D-E
1,-1302.764941,991.3,1251.855994,-1302.764941,1,Left,Right,no,no,D-E
1,-1298.90558,820.4,1145.059626,-2443.965206,0,Right,Left,yes,no,D-E
1,-1348.1788,2180.1,929.3357,-2277.5145,0,Left,Left,yes,no,D-E
1,-1414.546,1766.4,703.806768,-2118.352768,0,Left,Right,no,no,D-E
1,-1375.049368,1848.4,1484.566531,-1375.049368,1,Right,Right,yes,no,D-E
1,-1304.826154,605,1020.589165,-1304.826154,1,Right,Left,no,no,D-E
1,-1439.377932,708.9,535.441034,-1439.377932,1,Left,Left,yes,no,D-E
1,-1329.363587,573.7,934.905228,-1329.363587,1,Left,Left,no,no,D-E
1,2002.718236,557.5,2339.564955,2002.718236,1,Left,Left,no,no,A-C
1,1560.242807,744.1,1916.018649,1560.242807,1,Left,Left,no,no,A-C
1,1453.011627,1643.8,1806.336037,-353.32441,0,Left,Left,no,no,A-C
1,1129.688426,1216.5,1526.945759,-397.257333,0,Left,Left,no,no,A-C
1,1560.242807,668.2,1915.736631,-355.493824,0,Left,Right,no,no,A-C
1,1166.521266,1206.4,1483.851492,1166.521266,1,Right,Right,yes,no,A-C
1,1572.12696,894.6,1964.312087,-392.185127,0,Right,Right,no,no,A-C
1,1572.12696,1265,1981.734087,1572.12696,1,Right,Right,no,no,A-C
1,1924.715546,1389.1,2323.057792,1924.715546,1,Right,Left,no,no,A-C
1,1255.024952,884.5,1646.208963,-391.184011,0,Left,Left,yes,no,A-C
1,1255.024952,1201.4,1658.312364,-403.287412,0,Left,Left,no,no,A-C
1,1453.011627,1948.5,1851.743226,-398.731599,0,Left,Right,no,no,A-C
1,2002.718236,1199,2382.233867,-379.515631,0,Right,Right,yes,no,A-C
1,1941.175699,1005,2296.727596,1941.175699,1,Right,Left,no,no,A-C
1,1941.175699,2395,2288.980267,1941.175699,1,Left,Right,yes,no,A-C
1,1166.521266,1048.7,1561.063248,-394.541982,0,Right,Right,yes,no,A-C
1,-355.5518971,886.9,1969.863422,-2325.415319,0,Right,Left,no,no,C-E
1,-394.5419824,628.2,2029.421401,-2423.963383,0,Left,Left,yes,no,C-E
1,-317.3302262,643,1687.548081,-317.3302262,1,Left,Left,no,no,C-E
1,-392.1851265,607,2467.430773,-392.1851265,1,Left,Left,no,no,C-E
1,-397.2573328,2039,2157.363602,-397.2573328,1,Left,Left,no,no,C-E
1,-336.8467193,913.9,1940.667781,-336.8467193,1,Left,Left,no,no,C-E
1,-355.4938243,1589.7,1762.858944,-355.4938243,1,Left,Right,no,no,C-E
1,-347.8045684,2668.4,1633.386167,-347.8045684,1,Right,Right,no,no,C-E
1,-379.5156314,1014.9,2040.642652,-379.5156314,1,Right,Left,no,no,C-E
1,-353.3244098,1228.4,1921.809767,-353.3244098,1,Left,Right,yes,no,C-E
1,-398.7315994,685.2,1926.68372,-2325.415319,0,Right,Left,yes,no,C-E
1,-391.1840113,627.5,2028.974272,-391.1840113,1,Left,Left,yes,no,C-E
1,-403.2874118,665.8,2040.677794,-403.2874118,1,Left,Left,no,no,C-E
1,-409.6071274,876.4,1854.661688,-2264.268815,0,Left,Left,no,no,C-E
1,-337.3134293,2041.2,1637.505537,-337.3134293,1,Right,Right,yes,no,C-E
1,935.3890588,1087.4,3158.775489,935.3890588,1,Right,Right,no,no,B-E
1,212.3204739,916.8,2656.28568,212.3204739,1,Right,Right,no,no,B-E
1,989.6361227,813.7,3107.988891,989.6361227,1,Right,Left,no,no,B-E
1,933.7057095,541,2938.584017,933.7057095,1,Left,Left,yes,no,B-E
1,210.3248276,1272.8,2535.740147,210.3248276,1,Left,Right,no,no,B-E
1,1016.376283,993.5,3440.339666,-2423.963383,0,Right,Right,yes,no,B-E
1,996.7397689,2256.4,3261.008584,-2264.268815,0,Right,Right,no,no,B-E
1,919.0637399,2758.5,3196.57824,919.0637399,1,Right,Right,no,no,B-E
1,1025.063642,775.5,3884.679541,1025.063642,1,Right,Left,no,no,B-E
1,262.2428924,1178.2,2243.433627,262.2428924,1,Left,Right,yes,no,B-E
1,922.8678045,745.6,3198.001981,922.8678045,1,Right,Right,yes,no,B-E
1,215.4189217,760.9,2770.039857,215.4189217,1,Right,Left,no,no,B-E
1,247.3218431,2764.8,2667.480126,-2420.158283,0,Left,Right,yes,no,B-E
1,187.914663,946.4,2162.733629,187.914663,1,Right,Right,yes,no,B-E
1,216.9875831,909.2,2637.145866,-2420.158283,0,Right,Right,no,no,B-E
1,228.6098053,898.2,2554.025124,228.6098053,1,Right,Right,no,no,B-E
1,254.1796763,556.3,2678.143059,254.1796763,1,Right,Left,no,no,B-E
1,1129.688426,885.3,3549.846709,1129.688426,1,Left,Right,yes,no,A-E
1,1255.024952,550.6,3373.37772,-2118.352768,0,Right,Left,yes,no,A-E
1,1166.521266,704.4,3590.484649,-2423.963383,0,Left,Right,yes,no,A-E
1,1572.12696,594.8,3836.395775,1572.12696,1,Right,Left,yes,no,A-E
1,1941.175699,455.6,4218.690199,1941.175699,1,Left,Left,yes,no,A-E
1,1924.715546,525.5,4344.873829,-2420.158283,0,Left,Left,no,no,A-E
1,2002.718236,837.3,3983.908971,2002.718236,1,Left,Left,no,no,A-E
1,1453.011627,731.6,3778.426946,1453.011627,1,Left,Left,no,no,A-E
1,1129.688426,1009.9,3455.103745,1129.688426,1,Left,Left,no,no,A-E
1,1941.175699,477.2,4365.139082,-2423.963383,0,Left,Left,no,no,A-E
1,1166.521266,418.1,3441.655442,1166.521266,1,Left,Left,no,no,A-E
1,1255.024952,566,4114.640851,-2859.615899,0,Left,Left,no,no,A-E
1,2002.718236,886.5,4007.596543,-2004.878307,0,Left,Left,no,no,A-E
1,1560.242807,505.2,3783.629237,1560.242807,1,Left,Right,no,no,A-E
1,1453.011627,500.9,3427.830593,1453.011627,1,Right,Right,yes,no,A-E
1,1572.12696,512.3,4016.092166,1572.12696,1,Right,Right,no,no,A-E
1,1560.242807,507.9,4114.863742,1560.242807,1,Right,Right,no,no,A-E
1,1255.024952,478.3,2534.888576,-1279.863624,0,Right,Right,no,no,A-D
1,1572.12696,656.9,2920.30576,1572.12696,1,Right,Right,no,no,A-D
1,1453.011627,666.2,2852.22014,-1399.208513,0,Right,Right,no,no,A-D
1,1129.688426,511,2459.052013,-1329.363587,0,Right,Right,no,no,A-D
1,1941.175699,432.9,3316.225067,-1375.049368,0,Right,Right,no,no,A-D
