Participant_number,dominant_priority,rt,Priority_difference,chosen_pr,Chose_priority,Side,Previous_Side,Different?,New participant,stimulus_block
1,1255.024952,2780.3,321.3192425,933.7057095,0,Right,Right,yes,yes,A-B
1,1941.175699,705.4,1712.565894,1941.175699,1,Right,Right,no,no,A-B
1,1129.688426,888.8,104.624784,1025.063642,0,Right,Left,no,no,A-B
1,1129.688426,581.4,914.2695043,1129.688426,1,Left,Left,yes,no,A-B
1,1572.12696,542.3,1359.806486,1572.12696,1,Left,Left,no,no,A-B
1,1166.521266,579.2,978.606603,187.914663,0,Left,Left,no,no,A-B
1,1560.242807,1702.6,563.5030381,1560.242807,1,Left,Right,no,no,A-B
1,1453.011627,571,463.3755043,989.6361227,0,Right,Right,yes,no,A-B
1,1572.12696,614.9,1361.802132,1572.12696,1,Right,Left,no,no,A-B
1,1924.715546,601.7,989.3264872,1924.715546,1,Left,Right,yes,no,A-B
1,1166.521266,546.7,150.144983,1016.376283,0,Right,Left,yes,no,A-B
1,1941.175699,776,1724.188116,216.987583,0,Left,Left,yes,no,A-B
1,1453.011627,666.5,1190.768735,1453.011627,1,Left,Left,no,no,A-B
1,1560.242807,1531.1,1306.063131,254.179676,0,Left,Left,no,no,A-B
1,2002.718236,2283,1079.850432,2002.718236,1,Left,Left,no,no,A-B
1,2002.718236,1105.3,1755.396393,247.321843,0,Left,Left,no,no,A-B
1,1255.024952,576.9,335.9612121,1255.024952,1,Left,Left,no,no,A-B
1,-1458.333389,1093.2,765.053041,-2223.38643,0,Left,Left,no,no,D-E
1,-1363.062003,985.6,641.816304,-1363.062003,1,Left,Left,no,no,D-E
1,-1374.846792,1259,1045.311491,-2420.158283,0,Right,Left,yes,no,D-E
1,-1399.208513,730.6,1020.94977,-1399.208513,1,Left,Left,yes,no,D-E
1,-1345.997317,639,1077.966066,-1345.997317,1,Left,Left,no,no,D-E
1,-1279.863624,800.8,1144.099759,-2423.963383,0,Left,Left,no,no,D-E
1,-1304.66982,1371.8,1020.745499,-2325.415319,0,Left,Left,no,no,D-E
1,-1263.727426,783.2,1011.40675,-1263.727426,1,Left,Left,no,no,D-E
1,-1302.764941,991.3,1251.855994,-1302.764941,1,Left,Right,no,no,D-E
1,-1298.90558,820.4,1145.059626,-2443.965206,0,Right,Left,yes,no,D-E
1,-1348.1788,2180.1,929.3357,-2277.5145,0,Left,Left,yes,no,D-E
1,-1414.546,1766.4,703.806768,-2118.352768,0,Left,Right,no,no,D-E
1,-1375.049368,1848.4,1484.566531,-1375.049368,1,Right,Right,yes,no,D-E
1,-1304.826154,605,1020.589165,-1304.826154,1,Right,Left,no,no,D-E
1,-1439.377932,708.9,535.441034,-1439.377932,1,Left,Left,yes,no,D-E
1,-1329.363587,573.7,934.905228,-1329.363587,1,Left,Left,no,no,D-E
1,1129.688426,885.3,3549.846709,1129.688426,1,Left,Right,yes,no,A-E
1,1255.024952,550.6,3373.37772,-2118.352768,0,Right,Left,yes,no,A-E
1,1166.521266,704.4,3590.484649,-2423.963383,0,Left,Right,yes,no,A-E
1,1572.12696,594.8,3836.395775,1572.12696,1,Right,Left,yes,no,A-E
1,1941.175699,455.6,4218.690199,1941.175699,1,Left,Left,yes,no,A-E
1,1924.715546,525.5,4344.873829,-2420.158283,0,Left,Left,no,no,A-E
1,2002.718236,837.3,3983.908971,2002.718236,1,Left,Left,no,no,A-E
1,1453.011627,731.6,3778.426946,1453.011627,1,Left,Left,no,no,A-E
1,1129.688426,1009.9,3455.103745,1129.688426,1,Left,Left,no,no,A-E
1,1941.175699,477.2,4365.139082,-2423.963383,0,Left,Left,no,no,A-E
1,1166.521266,418.1,3441.655442,1166.521266,1,Left,Left,no,no,A-E
1,1255.024952,566,4114.640851,-2859.615899,0,Left,Left,no,no,A-E
1,2002.718236,886.5,4007.596543,-2004.878307,0,Left,Left,no,no,A-E
1,1560.242807,505.2,3783.629237,1560.242807,1,Left,Right,no,no,A-E
1,1453.011627,500.9,3427.830593,1453.011627,1,Right,Right,yes,no,A-E
1,1572.12696,512.3,4016.092166,1572.12696,1,Right,Right,no,no,A-E
1,1560.242807,507.9,4114.863742,1560.242807,1,Right,Right,no,no,A-E
1,1166.521266,459.6,3590.484649,-2423.963383,0,Left,Left,no,no,A-E
1,1255.024952,319.2,3236.215687,-1981.190735,0,Left,Left,no,no,A-E
1,1560.242807,261.8,3824.511622,-2264.268815,0,Left,Left,no,no,A-E
1,2002.718236,321.5,4226.104666,2002.718236,1,Left,Left,no,no,A-E
1,1453.011627,304.6,3427.830593,1453.011627,1,Left,Left,no,no,A-E
1,1941.175699,862,3946.054006,-2004.878307,0,Left,Left,no,no,A-E
1,1255.024952,446.5,3678.988335,1255.024952,1,Left,Left,no,no,A-E
1,1129.688426,428.3,3989.304325,-2859.615899,0,Left,Left,no,no,A-E
1,2002.718236,539.4,4277.852412,-2275.134176,0,Left,Right,no,no,A-E
1,1924.715546,534,4250.130865,1924.715546,1,Right,Left,yes,no,A-E
1,1129.688426,549.9,3549.846709,-2420.158283,0,Left,Right,yes,no,A-E
1,1572.12696,337.3,3849.64146,1572.12696,1,Right,Left,yes,no,A-E
1,1941.175699,602.8,4266.591018,1941.175699,1,Left,Left,yes,no,A-E
1,1572.12696,449.2,4016.092166,1572.12696,1,Left,Left,no,no,A-E
1,1560.242807,483.2,3980.40109,-2420.158283,0,Left,Left,no,no,A-E
1,1453.011627,760,4007.632562,1453.011627,1,Left,Right,no,no,A-E
1,1166.521266,2167.1,3284.874034,1166.521266,1,Right,Right,yes,no,A-E
2,1453.011627,726.5,456.2718581,996.7397689,0,Right,Left,yes,yes,A-B
2,1129.688426,1171.6,206.8206215,1129.688426,1,Left,Right,yes,no,A-B
2,1129.688426,795.5999999,941.773763,1129.688426,1,Right,Left,yes,no,A-B
2,1560.242807,536.4000001,535.179165,1025.063642,0,Left,Right,yes,no,A-B
2,2002.718236,783.3,1755.396393,247.321843,0,Right,Right,yes,no,A-B
2,1255.024952,665.9000001,1026.415147,1255.024952,1,Right,Left,no,no,A-B
2,1572.12696,519.8000002,1355.139377,1572.12696,1,Left,Right,yes,no,A-B
2,2002.718236,670.3,1083.654496,919.06374,0,Right,Right,yes,no,A-B
2,1255.024952,830,1044.700124,210.324828,0,Right,Left,no,no,A-B
2,1166.521266,410,231.1322072,1166.521266,1,Left,Right,yes,no,A-B
2,1560.242807,459.3000002,570.6066843,989.6361227,0,Right,Right,yes,no,A-B
2,1941.175699,325,1686.996023,1941.175699,1,Right,Right,no,no,A-B
2,1166.521266,313.7,232.8155565,1166.521266,1,Right,Left,no,no,A-B
2,1941.175699,386.4000001,1678.932807,262.242892,0,Left,Right,yes,no,A-B
2,1453.011627,332.0999999,1237.592705,215.418922,0,Right,Left,yes,no,A-B
2,1924.715546,677.3,908.339263,1016.376283,0,Left,Right,yes,no,A-B
2,1572.12696,447.5999999,1359.806486,1572.12696,1,Right,Right,yes,no,A-B
2,-1263.727426,432,959.659004,-1263.727426,1,Right,Left,no,no,D-E
2,-1348.1788,420.2,770.173968,-2118.352768,0,Left,Left,yes,no,D-E
2,-1458.333389,342,961.824894,-2420.158283,0,Left,Right,no,no,D-E
2,-1375.049368,475.5999999,950.365951,-1375.049368,1,Right,Left,yes,no,D-E
2,-1374.846792,370.8999999,599.972174,-1974.818966,0,Left,Right,yes,no,D-E
2,-1304.66982,337.2,1139.295386,-2443.965206,0,Right,Left,yes,no,D-E
2,-1363.062003,276.3,1191.558932,-2554.620935,0,Left,Right,yes,no,D-E
2,-1329.363587,698.2,1094.599796,-1329.363587,1,Right,Right,yes,no,D-E
2,-1439.377932,792.0999999,824.890883,-2264.268815,0,Right,Right,no,no,D-E
2,-1414.546,439.3,1445.069899,-2859.615899,0,Right,Left,no,no,D-E
2,-1399.208513,638.9000001,875.9256634,-1399.208513,1,Left,Right,yes,no,D-E
2,-1298.90558,1155.6,705.972727,-2004.878307,0,Right,Right,yes,no,D-E
2,-1279.863624,409.0999999,1144.099759,-1279.863624,1,Right,Left,no,no,D-E
2,-1304.826154,416,972.688346,-2277.5145,0,Left,Right,yes,no,D-E
2,-1441.218231,811.8,978.940052,-2420.158283,0,Right,Left,yes,no,D-E
2,-1302.764941,538.9000001,1022.650378,-2325.415319,0,Left,Left,yes,no,D-E
2,-1345.997317,1105.6,635.193418,-1345.997317,1,Left,Left,no,no,D-E
2,1129.688426,334.6999998,3393.957241,1129.688426,1,Left,Left,yes,no,A-E
2,1941.175699,1346.1,4495.796634,1941.175699,1,Left,Left,no,no,A-E
