trial_type,trial_index,time_elapsed,rt,stimulus,stimulus_block,stimulus_side,key_press,second_stimulus,two_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,screen_size,block,sub_block,tags1,tags2
pavlovia,0,2,,,,,,,,,,,,,,,,,,
instructions,1,996,994,,,,,,,,,,,,,,,,,
instructions,2,34558,33562,,,,,,,,,,,,,,,,,
bRMS,3,36650,2047.2,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,4,37849,747.3,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,5,38886,594.4,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,6,40102,764.3,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,7,41103,561.5,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,8,42086,529.1,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,9,43120,593.9,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,10,44187,618.5,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,11,45487,856.8,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,12,46531,598.1,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,13,47500,527.6,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,14,48396,448.9,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,15,49312,471.4,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,16,50448,691.1,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,17,51525,636.3,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,18,52632,665.4,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,19,53576,503.5,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,20,54538,520.2,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,21,55468,479.1,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,22,56405,488.8,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,23,57525,680.6,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,24,58399,433.6,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,25,59509,659.2,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,26,60507,556.6,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,27,61422,471.1,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,28,62268,405.9,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,29,63290,581.4,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,30,64140,400.1,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,31,64879,297.8,images/f42887_e_100 copy.png,training,1,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,32,65913,592.2,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
instructions,33,70896,4572,,,,,,,,,,,,,,,,,
bRMS,34,73720,2780.3,images/f42887_e_064 copy.png,A-B,1,75,images/f42887_e_180 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
