,block,browser,cookies,is_fullscreen,key_press,mobile,os,responses,rt,stimulus,stimulus_block,stimulus_side,sub_block,subject,success,time_elapsed,time_post_trial,trial_began,trial_index,trial_type
0,,,,,,,,,,,,,,,TRUE,7164,,,0,fullscreen
1,,,,,,,,"{""Q0"":""5a459ab2ee927b0001e1e1e2""}",7284,,,,,,,14452,,,1,survey-text
2,,,,,,,,"{""Q0"":0}",25634,,,,,,,40088,,,2,survey-likert
3,,,,,,,,,6229,,,,,,,46319,,,3,instructions
4,,,,,,,,,11763,,,,,,,58082,,,4,instructions
5,1,Chrome 97 (97.0.4692.99),TRUE,TRUE,P,FALSE,Windows 10,,3837.8,f42887_e_040.jpg,10controlWhere,0,2,34,,62353,400,0,5,bRMS
6,1,Chrome 97 (97.0.4692.99),TRUE,TRUE,Q,FALSE,Windows 10,,1692.5,f42887_e_030.jpg,10controlWhere,1,2,34,,64704,400,0,6,bRMS
7,1,Chrome 97 (97.0.4692.99),TRUE,TRUE,Q,FALSE,Windows 10,,1853.3,f42887_e_110.jpg,10controlWhere,1,2,34,,67272,400,0,7,bRMS
8,1,Chrome 97 (97.0.4692.99),TRUE,TRUE,P,FALSE,Windows 10,,1477.7,df42887_e_245.jpg,10controlWhere,0,2,34,,69438,400,0,8,bRMS
9,1,Chrome 97 (97.0.4692.99),TRUE,TRUE,Q,FALSE,Windows 10,,966.8,f42887_e_180.jpg,10controlWhere,1,2,34,,71081,400,0,9,bRMS
10,1,Chrome 97 (97.0.4692.99),TRUE,TRUE,Q,FALSE,Windows 10,,1085.6,df42887_e_195.jpg,10controlWhere,1,2,34,,72865,400,0,10,bRMS
11,1,Chrome 97 (97.0.4692.99),TRUE,TRUE,P,FALSE,Windows 10,,960.3,df42887_e_205.jpg,10controlWhere,0,2,34,,74511,400,0,11,bRMS
12,1,Chrome 97 (97.0.4692.99),TRUE,TRUE,Q,FALSE,Windows 10,,790.3,df42887_e_015.jpg,10controlWhere,1,2,34,,75975,400,0,12,bRMS
13,1,Chrome 97 (97.0.4692.99),TRUE,TRUE,Q,FALSE,Windows 10,,991.6,f42887_e_250.jpg,10controlWhere,1,2,34,,77678,400,0,13,bRMS
14,1,Chrome 97 (97.0.4692.99),TRUE,TRUE,Q,FALSE,Windows 10,,917.4,f42887_e_220.jpg,10controlWhere,1,2,34,,79307,400,0,14,bRMS
15,1,Chrome 97 (97.0.4692.99),TRUE,TRUE,Q,FALSE,Windows 10,,1135.8,df42887_e_235.jpg,10controlWhere,1,2,34,,81125,400,0,15,bRMS
16,1,Chrome 97 (97.0.4692.99),TRUE,TRUE,Q,FALSE,Windows 10,,1235.6,f42887_e_130.jpg,10controlWhere,1,2,34,,83090,400,0,16,bRMS
17,1,Chrome 97 (97.0.4692.99),TRUE,TRUE,P,FALSE,Windows 10,,1166.7,df42887_e_145.jpg,10controlWhere,0,2,34,,84963,400,0,17,bRMS
