,start_exp_2.keys,start_exp_2.rt,start_exp_3.keys,start_exp_3.rt,intel_resp.keys,intel_resp.rt,textbox_word.text,key_resp.keys,key_resp.rt,valence_resp.keys,valence_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,file,eng_name,heb_name,category,rms,intelligibility,syllables,category_key,frequency,log_freq,google_freq,log_google_freq,participant,age,gender,correct_guess
1,space,14.7252,space,9.3901,1,12.5471,"
",return,13.5631,4,3.4386,0,0,0,9,1,arnav.ogg,arnav,<U+05D0><U+05E8><U+05E0><U+05D1>,Animal,0.118283436,NA,2,a,404,2.606381365,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,FALSE
2,,NA,,NA,4,9.6853,"<U+05D0><U+05D5><U+05D2><U+05D3><U+05DF>
",return,8.2355,4,2.0704,0,1,1,113,1,ogdan.ogg,ogdan,<U+05D0><U+05D5><U+05D2><U+05D3><U+05DF>,Object,0.128981724,NA,2,l,220,2.342422681,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
3,,NA,,NA,6,5.2907,"<U+05D7><U+05DC><U+05D5><U+05DF>
",return,2.3568,4,1.8093,0,2,2,55,1,khalon.ogg,khalon,<U+05D7><U+05DC><U+05D5><U+05DF>,Object,0.103929475,NA,2,l,1996,3.300160537,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
4,,NA,,NA,6,4.6051,"<U+05E1><U+05E4><U+05DC>
",return,4.0752,4,1.8729,0,3,3,130,1,sefel.ogg,sefel,<U+05E1><U+05E4><U+05DC>,Object,0.068504706,NA,2,l,121,2.08278537,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
5,,NA,,NA,6,5.7752,"<U+05DE><U+05E8><U+05DB><U+05DA>
",return,2.3297,5,3.7673,0,4,4,100,1,merakekh.ogg,merakekh,<U+05DE><U+05E8><U+05DB><U+05DA>,Object,0.084448174,NA,3,l,37,1.568201724,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
6,,NA,,NA,7,2.6181,"<U+05D7><U+05EA><U+05D5><U+05DC>
",return,1.9343,5,4.32,0,5,5,61,1,khatul.ogg,khatul,<U+05D7><U+05EA><U+05D5><U+05DC>,Animal,0.10725911,NA,2,a,2320,3.365487985,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
7,,NA,,NA,7,2.5053,"<U+05E8><U+05D5><U+05D1><U+05D4>
",return,1.8302,3,2.0546,0,6,6,125,1,rove.ogg,rove,<U+05E8><U+05D5><U+05D1><U+05D4>,Object,0.140838295,NA,2,l,2823,3.450710878,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
8,,NA,,NA,6,7.317,"<U+05D7><U+05E8><U+05E7><U+05D9><U+05DD>
",return,2.5988,3,2.1675,0,7,7,57,1,kharakim.ogg,kharakim,<U+05D7><U+05E8><U+05E7><U+05D9><U+05DD>,Animal,0.112992086,NA,3,a,2428,3.385248682,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
9,,NA,,NA,7,3.0873,"<U+05E6><U+05D9><U+05E4><U+05D5><U+05E8>
",return,2.7096,5,2.1036,0,8,8,165,1,tzipor.ogg,tzipor,<U+05E6><U+05D9><U+05E4><U+05D5><U+05E8>,Animal,0.107238561,NA,2,a,1741,3.240798771,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
10,,NA,,NA,6,2.9158,"<U+05DE><U+05D7><U+05E9><U+05D1>
",return,6.9912,4,1.9978,0,9,9,87,1,makhshev.ogg,makhshev,<U+05DE><U+05D7><U+05E9><U+05D1>,Object,0.112244941,NA,2,l,7379,3.86799751,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
11,,NA,,NA,7,1.2794,"<U+05D7><U+05D5><U+05DC><U+05E6><U+05D4>
",return,1.6936,4,2.2419,0,10,10,68,1,khultza.ogg,khultza,<U+05D7><U+05D5><U+05DC><U+05E6><U+05D4>,Object,0.121153131,NA,2,l,832,2.920123326,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
12,,NA,,NA,7,2.2398,"<U+05EA><U+05D5><U+05DC><U+05E2><U+05EA>
",return,2.2302,3,2.1694,0,11,11,157,1,tolaat.ogg,tolaat,<U+05EA><U+05D5><U+05DC><U+05E2><U+05EA>,Animal,0.123411298,NA,3,a,495,2.694605199,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
13,,NA,,NA,6,2.7009,"<U+05DC><U+05D5><U+05D5><U+05D9><U+05EA><U+05DF>
",return,2.9233,4,2.0709,0,12,12,79,1,livyatan.ogg,livyatan,<U+05DC><U+05D5><U+05D5><U+05D9><U+05EA><U+05DF>,Animal,0.086291529,NA,3,a,211,2.324282455,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
14,,NA,,NA,7,1.5169,"<U+05E9><U+05E4><U+05DF>
",return,1.3446,5,1.0848,0,13,13,134,1,shafan.ogg,shafan,<U+05E9><U+05E4><U+05DF>,Animal,0.087025575,NA,2,a,184,2.264817823,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
15,,NA,,NA,7,1.5998,"<U+05DE><U+05D9><U+05E7><U+05E1><U+05E8>
",return,1.9377,4,1.6206,0,14,14,103,1,mikser.ogg,mikser,<U+05DE><U+05D9><U+05E7><U+05E1><U+05E8>,Object,0.084246255,NA,2,l,39,1.591064607,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
16,,NA,,NA,7,1.7667,"<U+05E4><U+05DC><U+05DE><U+05D9><U+05E0><U+05D2><U+05D5>
",return,2.2926,5,2.0028,0,15,15,32,1,flamingo.ogg,flamingo,<U+05E4><U+05DC><U+05DE><U+05D9><U+05E0><U+05D2><U+05D5>,Animal,0.109668776,NA,3,a,145,2.161368002,NA,NA,310,35,<U+05D0><U+05D9><U+05E9><U+05D4>,TRUE
