Subject,age,gender,ethnicity,handedness,eyedominance,Percept_mean.Neut,Percept_mean.Scowl,Percept_mean.Smile
1.00,20.00,M,2.00,R,R,3.10,3.22,3.17
2.00,19.00,F,6.00,R,L,3.27,2.96,3.33
4.00,20.00,F,4.00,L,L,2.87,2.78,2.78
5.00,18.00,F,1.00,R,R,3.24,3.32,3.68
6.00,19.00,F,2.00,BOTH,R,3.23,3.00,3.34
7.00,19.00,F,1.00,R,L,3.41,3.60,3.69
8.00,20.00,F,2.00,R,R,3.32,2.78,3.33
9.00,23.00,M,2.00,R,R,2.92,2.76,3.07
10.00,19.00,F,1.00,R,R,3.12,3.06,3.43
11.00,21.00,F,1.00,R,R,3.23,3.24,3.15
12.00,17.00,M,2.00,R,R,2.64,3.13,3.58
13.00,21.00,M,1.00,R,R,3.42,3.26,3.36
14.00,19.00,F,1.00,R,L,3.00,2.78,2.68
15.00,18.00,M,2.00,L,L,3.06,2.60,2.98
16.00,18.00,F,2.00,R,L,3.66,3.75,3.92
17.00,19.00,F,1.00,R,L,2.53,2.46,3.00
18.00,18.00,M,1.00,R,L,3.08,2.96,2.96
19.00,18.00,F,1.00,R,L,2.75,2.96,3.21
20.00,19.00,F,1.00,R,L,3.13,2.79,2.84
21.00,18.00,F,1.00,R,R,2.72,2.74,3.16
22.00,18.00,M,2.00,R,R,3.25,3.27,2.72
23.00,18.00,F,2.00,L,R,3.26,3.20,3.24
24.00,18.00,M,1.00,L,R,3.05,2.89,3.00
25.00,18.00,F,1.00,R,L,3.27,3.22,3.53
26.00,20.00,F,2.00,R,L,2.54,2.35,2.82
27.00,19.00,F,1.00,R,L,3.59,3.12,3.40
28.00,18.00,F,2.00,R,L,3.07,2.77,3.00
29.00,18.00,F,2.00,R,R,2.90,3.34,3.08
30.00,18.00,F,1.00,R,L,3.20,2.93,3.04
31.00,18.00,F,1.00,R,R,3.39,3.41,3.39
32.00,18.00,M,2.00,R,L,2.80,2.89,2.93
33.00,19.00,M,1.00,L,L,2.75,2.62,2.70
34.00,20.00,F,2.00,R,R,3.07,3.15,3.05
35.00,22.00,M,1.00,L,L,3.14,3.26,3.17
36.00,18.00,F,1.00,R,L,2.81,2.68,2.85
37.00,22.00,F,1.00,R,L,2.52,2.65,2.75
38.00,19.00,F,2.00,R,L,3.00,3.13,3.76
39.00,19.00,F,2.00,R,L,2.82,2.88,3.23
40.00,20.00,F,4.00,R,L,3.29,3.32,3.58
41.00,21.00,M,1.00,R,L,3.09,2.93,2.50
42.00,18.00,M,2.00,R,R,2.89,3.20,3.32
43.00,19.00,M,1.00,R,R,2.80,2.78,3.33
44.00,18.00,F,4.00,R,R,3.15,3.04,2.98
45.00,19.00,F,1.00,R,R,3.47,3.10,3.78
46.00,20.00,M,6.00,R,L,3.43,3.50,3.25
