"","case_id","country","age","sex","agreeable_score","extraversion_score","openness_score","conscientiousness_score","neuroticism_score"
"657",716,"USA",18,2,0.956666666666667,0.653333333333333,0.783333333333333,0.526666666666667,0.643333333333333
"658",717,"USA",51,2,0.776666666666667,0.783333333333333,0.733333333333333,0.896666666666667,0.416666666666667
"659",718,"USA",16,2,0.78,0.736666666666667,0.68,0.72,0.6
"660",720,"USA",22,2,0.463333333333333,0.73,0.68,0.873333333333333,0.513333333333333
"661",721,"USA",13,1,0.773333333333333,0.646666666666667,0.66,0.853333333333333,0.626666666666667
"662",722,"USA",42,2,0.743333333333333,0.426666666666667,0.736666666666667,0.803333333333333,0.693333333333333
"664",724,"USA",15,2,0.786666666666667,0.823333333333333,0.896666666666667,0.79,0.536666666666667
"665",726,"USA",34,2,0.643333333333333,0.78,0.67,0.67,0.653333333333333
"666",727,"USA",20,2,0.753333333333333,0.516666666666667,0.743333333333333,0.56,0.86
"669",730,"USA",26,1,0.683333333333333,0.72,0.796666666666667,0.906666666666667,0.533333333333333
"670",731,"USA",17,1,0.796666666666667,0.62,0.673333333333333,0.813333333333333,0.623333333333333
"671",732,"USA",17,1,0.743333333333333,0.61,0.87,0.66,0.57
"672",733,"USA",26,2,0.753333333333333,0.773333333333333,0.653333333333333,0.83,0.506666666666667
"678",739,"USA",38,1,0.643333333333333,0.536666666666667,0.596666666666667,0.803333333333333,0.52
"681",742,"USA",17,2,0.686666666666667,0.74,0.71,0.606666666666667,0.673333333333333
"682",743,"USA",48,2,0.836666666666667,0.606666666666667,0.746666666666667,0.763333333333333,0.6
"683",744,"USA",19,1,0.626666666666667,0.556666666666667,0.7,0.443333333333333,0.886666666666667
"686",747,"USA",29,2,0.726666666666667,0.74,0.623333333333333,0.813333333333333,0.556666666666667
"687",748,"USA",19,2,0.72,0.736666666666667,0.696666666666667,0.686666666666667,0.56
"688",749,"USA",43,1,0.633333333333333,0.596666666666667,0.716666666666667,0.593333333333333,0.62
"689",750,"USA",30,2,0.553333333333333,0.813333333333333,0.823333333333333,0.623333333333333,0.583333333333333
"691",753,"USA",48,2,0.703333333333333,0.723333333333333,0.753333333333333,0.766666666666667,0.453333333333333
"692",754,"USA",17,2,0.63,0.65,0.71,0.71,0.683333333333333
"693",755,"USA",27,2,0.74,0.706666666666667,0.766666666666667,0.91,0.413333333333333
"694",756,"USA",29,2,0.746666666666667,0.466666666666667,0.656666666666667,0.756666666666667,0.663333333333333
"695",757,"USA",19,1,0.546666666666667,0.536666666666667,0.67,0.64,0.766666666666667
"696",758,"USA",50,2,0.876666666666667,0.7,0.79,0.75,0.566666666666667
"697",759,"USA",19,2,0.81,0.813333333333333,0.753333333333333,0.886666666666667,0.373333333333333
"698",760,"USA",19,2,0.78,0.63,0.696666666666667,0.623333333333333,0.573333333333333
"699",761,"USA",32,2,0.763333333333333,0.58,0.773333333333333,0.673333333333333,0.583333333333333
"700",762,"USA",44,2,0.823333333333333,0.693333333333333,0.69,0.72,0.59
"701",763,"USA",22,2,0.746666666666667,0.803333333333333,0.786666666666667,0.606666666666667,0.69
"702",764,"USA",19,1,0.47,0.52,0.593333333333333,0.54,0.896666666666667
"703",766,"USA",17,2,0.826666666666667,0.77,0.896666666666667,0.676666666666667,0.62
"705",768,"USA",15,1,0.646666666666667,0.84,0.826666666666667,0.493333333333333,0.563333333333333
"708",771,"USA",47,1,0.616666666666667,0.596666666666667,0.796666666666667,0.69,0.556666666666667
"709",772,"USA",19,2,0.72,0.766666666666667,0.77,0.613333333333333,0.583333333333333
"710",773,"USA",14,2,0.656666666666667,0.696666666666667,0.696666666666667,0.676666666666667,0.586666666666667
"711",774,"USA",17,2,0.533333333333333,0.51,0.77,0.58,0.66
"712",775,"USA",40,1,0.586666666666667,0.553333333333333,0.786666666666667,0.533333333333333,0.673333333333333
"713",776,"USA",50,2,0.67,0.463333333333333,0.633333333333333,0.66,0.74
"715",778,"USA",15,2,0.806666666666667,0.733333333333333,0.666666666666667,0.656666666666667,0.563333333333333
"716",779,"USA",15,2,0.85,0.706666666666667,0.796666666666667,0.643333333333333,0.536666666666667
"717",780,"USA",14,2,0.733333333333333,0.57,0.82,0.526666666666667,0.65
"719",782,"USA",19,2,0.773333333333333,0.7,0.813333333333333,0.676666666666667,0.423333333333333
"720",783,"USA",18,2,0.796666666666667,0.673333333333333,0.82,0.763333333333333,0.72
"721",784,"USA",26,1,0.71,0.546666666666667,0.593333333333333,0.623333333333333,0.533333333333333
"723",786,"USA",16,2,0.686666666666667,0.76,0.713333333333333,0.506666666666667,0.546666666666667
